id,SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned,SetNumber
98,8592,7965,1,Star Wars,Episode IV,2011,Millennium Falcon,6.0,1254.0,132.99,139.99,179.99,149.99,http://images.brickset.com/sets/images/7965-1.jpg,No,No,0,7965-1
154,3836,7201,1,Star Wars,Episode VI,2002,Final Duel II,3.0,26.0,5.99,7.0,,,http://images.brickset.com/sets/images/7201-1.jpg,No,No,0,7201-1
164,7230,30005,1,Star Wars,Episode VI,2009,Imperial Speeder Bike,1.0,30.0,3.99,3.99,,,http://images.brickset.com/sets/images/30005-1.jpg,No,No,0,30005-1
146,3793,7104,1,Star Wars,Episode VI,2000,Desert Skiff,2.0,55.0,,6.0,,,http://images.brickset.com/sets/images/7104-1.jpg,No,No,0,7104-1
36,3797,7113,1,Star Wars,Episode II,2002,Tusken Raider Encounter,3.0,93.0,8.99,10.0,,,http://images.brickset.com/sets/images/7113-1.jpg,No,No,0,7113-1
139,2136,4475,1,Star Wars,Episode VI,2003,Jabba's Message,3.0,46.0,5.99,7.0,,,http://images.brickset.com/sets/images/4475-1.jpg,No,No,0,4475-1
16,3838,7204,1,Star Wars,Episode I,2002,Jedi Defense II,3.0,53.0,5.99,7.0,,,http://images.brickset.com/sets/images/7204-1.jpg,No,No,0,7204-1
82,2138,4477,1,Star Wars,Episode IV,2003,T-16 Skyhopper ,1.0,98.0,12.99,15.0,,,http://images.brickset.com/sets/images/4477-1.jpg,No,No,0,4477-1
1,3796,7111,1,Star Wars,Episode I,1999,Droid Fighter,,62.0,,6.0,,,http://images.brickset.com/sets/images/7111-1.jpg,No,No,0,7111-1
86,3795,7110,1,Star Wars,Episode IV,1999,Landspeeder,2.0,49.0,,6.0,,,http://images.brickset.com/sets/images/7110-1.jpg,No,No,0,7110-1
140,2137,4476,1,Star Wars,Episode VI,2003,Jabba's Prize,2.0,40.0,5.99,7.0,,,http://images.brickset.com/sets/images/4476-1.jpg,No,No,0,4476-1
64,5585,7655,1,Star Wars,Episode III,2007,Clone Troopers Battle Pack,4.0,58.0,8.99,9.99,,,http://images.brickset.com/sets/images/7655-1.jpg,No,No,0,7655-1
165,24081,30272,1,Star Wars,Episode VI,2015,A-Wing Starfighter,,58.0,,,,3.99,http://images.brickset.com/sets/images/30272-1.jpg,No,No,0,30272-1
148,3804,7128,1,Star Wars,Episode VI,1999,Speeder Bikes,3.0,93.0,,10.0,,,http://images.brickset.com/sets/images/7128-1.jpg,No,No,0,7128-1
35,3792,7103,1,Star Wars,Episode II,2002,Jedi Duel,2.0,82.0,8.99,10.0,,,http://images.brickset.com/sets/images/7103-1.jpg,No,No,0,7103-1
160,8885,9489,1,Star Wars,Episode VI,2012,Endor Rebel Trooper & Imperial Trooper Battle Pack,4.0,77.0,11.99,12.99,15.99,16.99,http://images.brickset.com/sets/images/9489-1.jpg,No,No,0,9489-1
153,3835,7200,1,Star Wars,Episode VI,2002,Final Duel I,2.0,31.0,5.99,7.0,,,http://images.brickset.com/sets/images/7200-1.jpg,No,No,0,7200-1
85,3794,7106,1,Star Wars,Episode IV,2001,Droid Escape,2.0,45.0,,6.0,,,http://images.brickset.com/sets/images/7106-1.jpg,No,No,0,7106-1
72,22955,75035,1,Star Wars,Episode III,2014,Kashyyyk Troopers,4.0,99.0,11.99,12.99,15.99,11.89,http://images.brickset.com/sets/images/75035-1.jpg,No,No,0,75035-1
52,3865,7251,1,Star Wars,Episode III,2005,Darth Vader Transformation,3.0,53.0,4.99,7.0,,,http://images.brickset.com/sets/images/7251-1.jpg,No,No,0,7251-1
0,3791,7101,1,Star Wars,Episode I,1999,Lightsaber Duel,2.0,52.0,,6.0,,,http://images.brickset.com/sets/images/7101-1.jpg,No,No,0,7101-1
2,3798,7115,1,Star Wars,Episode I,2000,Gungan Patrol,2.0,77.0,,10.0,,,http://images.brickset.com/sets/images/7115-1.jpg,No,No,0,7115-1
3,3800,7121,1,Star Wars,Episode I,1999,Naboo Swamp,4.0,82.0,,10.0,,,http://images.brickset.com/sets/images/7121-1.jpg,No,No,0,7121-1
73,22957,75036,1,Star Wars,Episode III,2014,Utapau Troopers,4.0,83.0,11.99,12.99,15.99,11.89,http://images.brickset.com/sets/images/75036-1.jpg,No,No,0,75036-1